28.5,25.5
29.5,25.5
30.5,25.5
31.5,25.5
32.5,25.5
33.5,25.5
34.5,25.5
25.5,26.5
26.5,26.5
27.5,26.5
28.5,26.5
29.5,26.5
30.5,26.5
31.5,26.5
32.5,26.5
33.5,26.5
25.5,27.5
26.5,27.5
27.5,27.5
28.5,27.5
29.5,27.5
30.5,27.5
31.5,27.5
32.5,27.5
25.5,28.5
26.5,28.5
27.5,28.5
28.5,28.5
29.5,28.5
30.5,28.5
31.5,28.5
32.5,28.5
33.5,28.5
25.5,29.5
26.5,29.5
27.5,29.5
28.5,29.5
29.5,29.5
30.5,29.5
31.5,29.5
33.5,29.5
34.5,29.5
25.5,30.5
26.5,30.5
27.5,30.5
28.5,30.5
29.5,30.5
30.5,30.5
31.5,30.5
32.5,30.5
33.5,30.5
34.5,30.5
25.5,31.5
26.5,31.5
30.5,31.5
31.5,31.5
